word1,word2,mean(remove_extreme_annotator),ano1,ano2,ano3,ano4,ano5,ano6,ano7,ano8,ano9,ano10,mean
もちろん,勿論,10,10,10,10,10,10,10,10,10,10,10,10.0
とにかく,いかんせん,4.4,5,5,5,0,7,7,8,9,0,3,4.9
次々,順次,7.8,7,7,8,8,9,7,8,5,8,8,7.5
ほとんど,全体的に,6.6,6,5,8,5,9,3,9,6,8,7,6.6
全て,丸々,8,8,6,9,9,8,9,9,8,9,8,8.3
明らかに,さも,3,6,3,1,0,5,5,6,4,0,5,3.5
ありのまま,全て,4.4,8,5,5,4,0,5,7,3,9,7,5.3
確かに,当然,3.2,4,3,4,5,0,3,8,6,8,5,4.6
まったく,さも,3.2,8,3,3,0,2,3,7,3,0,3,3.2
わずかに,多少,5.6,4,6,2,8,8,6,7,3,8,3,5.5
かすかに,少々,6.4,6,5,6,7,8,6,7,4,8,5,6.2
ぐっと,一気に,5.6,5,3,7,8,5,7,7,7,8,5,6.2
そのまま,全て,4.6,6,4,8,5,0,8,5,3,7,5,5.1
どうにか,辛くも,6,7,5,7,6,5,7,8,8,8,7,6.8
現在は,現在,9.2,9,8,9,10,10,10,10,7,8,10,9.1
実に,まことに,7.4,8,6,8,8,7,9,9,6,9,6,7.6
とても,一段と,5.8,8,5,5,8,3,7,6,3,8,7,6.0
結構,なかなか,6.4,8,6,6,8,4,8,4,7,8,7,6.6
本当に,現に,6.2,8,6,7,7,3,6,6,6,0,5,5.4
絶対に,完全に,5.6,7,5,6,6,4,5,7,6,8,8,6.2
ちょっと,少し,7.8,8,7,8,8,8,9,8,8,8,8,8.0
きっぱり,断固,6,8,5,8,9,0,8,8,7,9,7,6.9
主に,専ら,4.6,7,5,2,9,0,8,7,3,9,7,5.7
かなり,まあまあ,2.2,3,5,3,0,0,7,6,5,0,5,3.4
実際に,事実,5.8,6,4,5,9,5,5,8,6,8,5,6.1
思い通り,いかんなく,4,7,4,6,0,3,3,8,3,8,6,4.8
すべて,丸々,7.6,8,5,8,9,8,7,9,6,9,8,7.7
そのままを,何もかも,5.4,7,4,8,8,0,3,8,6,6,8,5.8
概して,おしなべて,8.2,7,7,8,10,9,4,9,8,8,7,7.7
とうとう,もはや,3.6,6,5,7,0,0,4,6,3,5,5,4.1
全体的に,一般に,4.6,6,6,4,5,2,5,6,5,8,7,5.4
全て,丸ごと,8,8,6,8,9,9,8,9,7,9,8,8.1
主として,常に,3.4,7,3,5,1,1,7,9,3,7,5,4.8
たくさん,いっぱい,8.6,8,7,9,10,9,9,9,8,8,8,8.5
だいたい,多くが,6.2,7,6,7,4,7,7,8,7,8,7,6.8
ちょっと,結構,1.2,2,3,1,0,0,4,5,2,0,6,2.3
しょせん,結局,7.2,7,6,6,9,8,3,8,7,9,6,6.9
だいぶ,しっかりと,4,7,4,5,2,2,2,7,4,0,7,4.0
きっぱりと,断然として,7.4,8,6,5,9,9,5,8,6,9,8,7.3
ずらりと,多数,5.8,7,3,5,7,7,6,8,7,8,7,6.5
やや,わずかに,7,6,6,6,8,9,9,7,6,8,8,7.3
度々,結構,6.4,7,4,7,9,5,8,7,7,2,7,6.3
すべて,完全に,7.4,8,5,7,9,8,5,9,7,8,8,7.4
主に,ほとんどが,7.4,8,5,8,7,9,7,9,6,8,8,7.5
正に,正しく,6.8,8,4,8,9,5,7,9,7,9,5,7.1
ずっと,大幅に,4,8,3,4,5,0,2,6,3,3,7,4.1
