word1,word2,mean(remove_extreme_annotator),sub1,sub2,sub3,sub4,sub5,sub6,sub7,sub8,sub9,sub10,mean
あげる,表す,1.6,2,1,0,2,3,2,2,5,0,0,1.7
あしらった,配置された,5.4,7,7,5,0,8,5,1,7,2,1,4.3
あしらった,使用した,5.8,7,7,8,0,7,7,5,6,1,0,4.8
あしらってある,飾ってある,7.2,7,7,7,8,7,9,5,8,9,4,7.1
あふれた,満ち溢れた,7.4,5,7,7,9,9,10,7,8,9,5,7.6
あふれる,富んだ,8.4,9,8,7,10,8,10,8,8,8,4,8.0
あふれる,する,0,0,0,0,0,0,3,2,0,0,0,0.5
あらわになった,出現した,6.4,5,8,5,7,7,9,4,8,5,5,6.3
あらわになった,さらされた,7.8,8,7,10,7,7,9,3,8,9,0,6.8
あらわになった,露出した,8.2,9,7,10,7,8,10,5,9,9,5,7.9
あらわになった,発覚した,8.6,9,8,10,8,8,6,8,9,9,6,8.1
あらわになった,表面化した,8.8,8,9,10,9,8,8,8,9,8,6,8.3
あらわになった,露呈した,9.4,9,10,10,10,8,10,8,9,9,8,9.1
いためた,病んだ,5,5,5,4,5,6,5,4,6,4,3,4.7
いっしょにした,添えた,7.4,6,8,10,5,8,8,5,7,5,7,6.9
いつもいる,駐留する,7,9,8,7,4,7,9,6,8,7,6,7.1
いつもそこに居る,常駐する,8.6,10,9,9,7,8,10,7,9,9,8,8.6
いなくした,出した,0.6,0,0,3,0,0,7,3,7,0,1,2.1
いなくなる,無くなる,6.6,7,5,9,6,6,9,5,8,8,3,6.6
イライラした,うざったい,5.8,5,8,5,5,6,6,2,8,6,6,5.7
うかがう,お聞きした,7.6,9,8,6,7,8,10,3,8,9,8,7.6
うかがう,様子見した,6,4,7,6,6,7,9,5,6,8,8,6.6
うかがった,のぞいた,5.2,2,6,5,5,8,8,4,7,7,8,6.0
うつされた,貰った,4.6,5,4,5,2,7,4,6,7,8,7,5.5
うつった,罹った,4.8,5,5,3,4,7,7,5,7,2,10,5.5
うもれた,溺れた,3.8,1,2,5,7,4,4,3,7,1,3,3.7
お願いした,懇願した,8.6,9,8,9,10,7,7,5,8,10,8,8.1
お願いする,懇望する,7.8,9,9,7,7,7,8,4,8,8,7,7.4
お願いする,頼み込む,7.8,9,8,7,7,8,9,8,8,9,8,8.1
かかった,罹患した,8,8,8,6,10,8,9,8,8,10,9,8.4
かき乱された,揺らした,3.8,3,0,3,6,7,7,4,6,5,1,4.2
かき乱された,揺れ動いた,5.8,6,5,4,7,7,7,3,8,4,6,5.7
かたる,名乗る,7,5,8,7,10,5,9,9,8,2,7,7.0
ぐしゃぐしゃになった,乱れた,7.4,7,5,10,7,8,10,6,8,9,6,7.6
くばられた,分けられた,6.6,8,5,5,8,7,10,7,8,7,7,7.2
けんかをする,ごたごたする,6.4,5,6,10,3,8,7,3,7,9,4,6.2
けんかをする,言い争う,7.4,7,6,10,6,8,9,5,8,8,6,7.3
けんかをする,もめる,8.2,8,7,10,8,8,9,6,9,9,5,7.9
コーディネートした,合わせた,7,6,6,6,9,8,10,7,9,9,6,7.6
こじらせた,患った,5.4,5,4,7,5,6,7,6,8,6,4,5.8
こじらせた,うつされた,3,2,1,3,3,6,8,6,7,0,0,3.6
こじらせる,罹る,3.2,3,3,1,3,6,7,5,8,2,2,4.0
ごたついた,言い合った,5.2,5,3,7,3,8,6,2,8,2,6,5.0
ごたついた,ごたごたした,8.2,10,7,8,7,9,9,10,9,6,8,8.3
コントロールした,操縦した,7.2,9,9,5,5,8,10,8,9,2,9,7.4
コントロールする,操縦する,8,8,10,9,5,8,10,8,9,2,9,7.8
コントロールできる,制御できる,9.2,9,10,10,9,8,10,9,9,9,10,9.3
ささくれる,荒れる,5.2,5,5,6,4,6,8,4,7,4,7,5.6
しけている,乱れている,4.8,7,4,4,2,7,7,1,7,7,7,5.3
しばった,着けた,2,0,1,0,3,6,5,2,5,3,4,2.9
しめた,閉じた,8.4,10,9,5,10,8,10,8,8,10,9,8.7
しめっていた,濡れていた,7.4,6,7,8,8,8,7,7,7,10,8,7.6
しめる,冷やす,2.6,0,1,3,3,6,2,1,7,4,1,2.8
すたれた,荒廃した,8,8,7,7,10,8,10,10,9,8,8,8.5
すたれた,廃れた,10,10,10,10,10,10,10,10,10,10,10,10.0
ズレていく,変わっていく,5.4,3,6,3,8,7,4,3,7,6,6,5.3
せずにいる,欠かす,4,3,4,3,3,7,6,3,5,3,3,4.0
ダッシュする,爆走する,6.8,6,9,5,6,8,9,6,6,7,9,7.1
ダッシュする,疾走する,7.6,9,9,6,6,8,9,6,9,9,9,8.0
ダッシュする,走行する,6.2,6,8,5,5,7,8,5,8,4,6,6.2
ダッシュする,駆け抜ける,7,6,7,7,8,7,8,7,8,10,8,7.6
ためらう,気後れする,7.4,5,8,7,9,8,7,7,9,5,8,7.3
ためらう,躊躇する,8.4,9,8,7,10,8,10,8,9,10,9,8.8
ためらった,躊躇した,8.6,9,8,8,10,8,10,8,9,10,9,8.9
たらした,広げた,2,0,4,0,2,4,5,2,0,0,0,1.7
たらした,入れた,2.6,1,4,0,5,3,7,3,3,0,0,2.6
チャレンジする,望む,5.2,7,8,3,3,5,0,8,5,0,6,4.5
チャレンジする,のぞむ,6.2,6,9,6,5,5,10,8,5,8,6,6.8
チャレンジする,立ち向かう,6.4,5,6,7,7,7,9,6,9,2,8,6.6
ちりばめている,飾ってある,4.2,3,5,1,6,6,8,3,7,1,6,4.6
ちりばめている,配置されてある,5.2,5,5,2,8,6,7,5,8,3,6,5.5
つかんだ,挟んだ,5.2,7,6,4,3,6,6,6,7,4,7,5.6
つかんだ,持った,7.2,7,6,8,8,7,9,7,4,7,8,7.1
つかんだ,掴んだ,9.4,9,8,10,10,10,10,10,10,10,10,9.7
つけた,着用した,8.2,7,8,10,8,8,10,8,9,10,7,8.5
つまみとった,持った,4.8,5,6,1,5,7,7,5,8,3,6,5.3
つまみとった,挟んだ,4.8,5,8,3,2,6,5,7,5,8,7,5.6
つむった,つぶった,9.4,10,9,9,10,9,10,9,9,9,9,9.3
ディスカッションする,討議する,8.6,10,8,8,9,8,10,8,9,10,9,8.9
ディスカッションする,話し合って検討する,9.2,10,9,9,10,8,9,8,9,9,9,9.0
とって亡くした,逝去した,6.8,9,5,7,5,8,10,5,4,5,7,6.5
トラブルになった,もめた,8.8,10,9,7,10,8,10,10,9,10,7,9.0
とらわれた,入った,2.4,0,4,0,2,6,9,2,4,1,2,3.0
とらわれた,陥った,5.4,5,6,6,3,7,8,3,5,6,6,5.5
ないがしろにする,無視する,7,5,9,6,7,8,6,8,9,9,7,7.4
なおした,表した,1.2,2,0,0,2,2,0,2,0,0,0,0.8
なくした,除いた,5.4,4,9,5,3,6,7,5,9,8,6,6.2
なくなった,終わった,5.2,5,8,4,3,6,10,3,8,8,6,6.1
なくなる,消える,7.2,4,8,9,8,7,10,6,9,9,8,7.8
なくなる,去る,6.2,7,8,5,4,7,10,5,8,9,7,7.0
なぞった,調べた,2.6,3,2,0,3,5,8,4,4,0,6,3.5
なぞった,読み返した,5.2,5,7,5,4,5,9,6,4,0,7,5.2
なぞる,歩む,2.4,1,4,0,3,4,9,2,0,0,6,2.9
